nl,fr
"graag frieten eten","aimer les frites"
"graag wandelen","aimer se promener"
"goed gaan","aller bien"
"Gaat het?","Ça va ?"
"Ik ga morgen naar hem toe.","J'irai le voir demain."
"Is ze daar?","Elle est là ?"
"Dan kom ik ook.","Alors je viens aussi."
"vorig jaar","l'an dernier"
"één per jaar","un par an"
"nieuwjaarsdag","le Nouvel An"
"Ik zie het ook.","Je le vois aussi."
"een andere dag","un autre jour"
"iemand anders","qqn d'autre"
"twee jaar zijn","avoir deux ans"
"Zij hebben het koud.","Ils ont froid."
"Je krijgt je geschenk morgen.","Tu auras ton cadeau demain."
"goed spreken","bien parler"
"een goede match","un bon match"
"op het goede moment","au bon moment"
"Dat is een goede zaak.","C'est une bonne chose."
"het volgende","la chose suivante"
"een goede zaak","une bonne chose"
"het beste","la meilleure chose"
"een slechte zaak","une mauvaise chose"
"een verhaal geloven","croire une histoire"
"Ik geloof je niet.","Je ne te crois pas."
"Ik denk dat je gelijk hebt.","Je crois que tu as raison."
"Wij zijn met zijn tweeën.","Nous sommes deux."
"contact moeten opnemen","devoir prendre contact"
"niets zeggen","ne rien dire"
"Zegt u nee?","Vous dites non ?"
"een geschenk geven","donner un cadeau"
"Hij slaapt nog.","Il dort encore."
"de broer zijn van iemand","être le frère de qqn"
"jong zijn","être jeune"
"oud zijn","être vieux"
"Hij is daar.","Il est là."
"Ze zal er zijn.","Elle sera présente."
"een reis maken","faire un voyage"
"opletten","faire attention"
"Jullie doen niets.","Vous ne faites rien."
"Morgen wordt het mooi weer.","Il fera beau demain."
"Doe een inspanning!","Faites un effort !"
"Men moet opletten.","Il faut faire attention."
"een tweede keer","une seconde fois"
"een andere keer","une autre fois"
"Herhaal nog één (enkele) keer.","Répète encore une fois."
"Hij is mijn grote broer.","C'est mon grand frère."
"een politicus","un homme politique"
"een oude man","un vieil homme"
"een knappe man","un bel homme"
"de mens","l'homme"
"Je computer is hier.","Ton ordinateur est ici."
"Hij is nooit gekomen.","Il n'est jamais venu."
"de volgende dag","le jour suivant"
"een dag eerder","un jour avant"
"één enkele dag","un seul jour"
"een dag later","un jour plus tard"
"De zon komt op.","Le jour se lève."
"Hij zit daar, op de bank.","Il est assis là, sur le banc."
"een boek op de tafel leggen","mettre un livre sur la table"
"een pullover aantrekken","mettre un pull"
"een betere wereld","un monde meilleur"
"de vierde wereld","le quart-monde"
"Nee, ik kom niet.","Non, je ne viens pas."
"Ja, ik ken hem.","Oui, je le connais."
"Frans spreken","parler français"
"(met) elkaar spreken","se parler"
"Hij spreekt niet.","Il ne parle pas."
"voorbij het huis komen","passer devant la maison"
"het zout doorgeven","passer le sel"
"zijn vakantie doorbrengen in Frankrijk","passer ses vacances en France"
"Wat gebeurt er?","Que se passe-t-il ?"
"Er is niets gebeurd.","Il ne s'est rien passé."
"aan de vakantie denken","penser aux vacances"
"een goede dunk van iemand hebben","penser du bien de qqn"
"een kleine jongen","un petit garçon"
"een ogenblikje wachten","attendre un petit moment"
"Er moeten er meer zijn.","Il en faut plus."
"Hij is kleiner.","Il est plus petit."
"Hij komt niet meer.","Il ne vient plus."
"mogen uitgaan op zaterdag","pouvoir sortir le samedi"
"Hij zal kunnen komen.","Il pourra venir."
"Wat kan ik voor u doen?","Que puis-je faire pour vous ?"
"de eerste dag","le premier jour"
"de eerste keer","la première fois"
"een mes nemen","prendre un couteau"
"de bus nemen","prendre le bus"
"Wanneer vertrek je?","Quand pars-tu ?"
"Zij zegt niets.","Elle ne dit rien."
"een tekst kunnen lezen","savoir lire un texte"
"Hij zal me kunnen vinden.","Il saura me trouver."
"Ik weet het niet.","Je ne le sais pas."
"met de fiets volgen","suivre à vélo"
"te voet volgen","suivre à pied"
"een programma op tv volgen","suivre une émission à la télé"
"elkaar (op)volgen","se suivre"
"de verloren tijd","le temps perdu"
"sinds enige tijd","depuis un certain temps"
"het slechte weer","le mauvais temps"
"Het was de goede, oude tijd.","C'était le bon vieux temps."
"Het is altijd warm.","Il fait toujours chaud."
"Zij is zeer moe.","Elle est très fatiguée."
"een oplossing vinden","trouver une solution"
"zich links bevinden","se trouver à gauche"
"zich rechts bevinden","se trouver à droite"
"met de auto komen","venir en auto"
"Hij zal niet komen.","Il ne viendra pas."
"de vrienden zien","voir les amis"
"willen spreken met mijn moeder","vouloir parler à ma mère"
