nl,fr
"allen samen handelen","agir tous ensemble"
"Waarover gaat het?","De quoi s'agit-il ?"
"Dat moet een fout zijn.","Il doit s'agir d'une erreur"
"een oud-leerling van de school","un ancien élève de l'école"
"mijn vroegere school","mon ancienne école"
"een oud-minister","un ancien ministre"
"een les leren","apprendre une leçon"
"vanbuiten leren","apprendre par cœur"
"leren schrijven","apprendre à écrire"
"op een stoel gaan zitten","s'assoir sur une chaise"
"Ik zit op de grond.","Je suis assis par terre."
"Het regent veel en vaak.","Il pleut beaucoup et souvent."
"een arm opheffen","lever un bras"
"een arm laten zakken","baisser un bras"
"een arm geven","se donner le bras"
"zijn gewoontes veranderen","changer ses habitudes"
"van T-shirt wisselen","changer de T-shirt"
"van naam wisselen","changer de nom"
"zich omkleden om uit te gaan","se changer pour sortir"
"een bedrijfsleider","un chef d'entreprise"
"tot baas benoemd worden","être nommé chef"
"Vijf is gelijk aan zes min één.","Cinq égale six moins un."
"Zijn hart klopt snel.","Son cœur bat vite."
"een raad geven","donner un conseil"
"raad vragen bij iemand","prendre conseil auprès de qqn"
"een strijd voortzetten","continuer un combat"
"doorgaan met regenen","continuer à pleuvoir"
"beslissen om op vakantie te vertrekken","décider de partir en vacances"
"beslissen om van werk te veranderen","se décider à changer de travail"
"zonder enige twijfel","sans aucun doute"
"wellicht","sans doute"
"twijfels hebben over iets","avoir un doute au sujet de qqch."
"Er blijft twijfel bestaan.","Un doute subsiste."
"een effect hebben","avoir un effet"
"een verband van oorzaak en gevolg","un rapport de cause à effet"
"in euro betalen","payer en euros"
"de verborgen zijde","la face cachée"
"de noordkant van de berg","la face nord de la montagne"
"een film maken","tourner un film"
"naar een film kijken","regarder un film"
"de oudste zoon","le fils ainé"
"de enige zoon","le fils unique"
"Dit is onze jongste zoon.","C'est notre fils cadet."
"een herinnering bewaren aan iets","garder un souvenir de qqch."
"stil blijven, zwijgen","garder le silence"
"bewaard worden in de koelkast","se garder dans le frigo"
"een regering vormen","former un gouvernement"
"een rechtse regering","un gouvernement de droite"
"een linkse regering","un gouvernement de gauche"
"een zware inspanning leveren","faire un gros effort"
"een groot budget","un gros budget"
"een groot verschil","une grosse différence"
"een videospel","un jeu vidéo"
"een gratis spel","un jeu gratuit"
"een spel spelen","jouer un jeu"
"de krant lezen","lire le journal"
"een brochure lezen","lire une brochure"
"een aardrijkskundeboek","un livre sur la géographie"
"een boek uitgeven","publier un livre"
"brood eten","manger du pain"
"op restaurant eten","manger au restaurant"
"We eten te veel.","Nous mangeons trop."
"koud gegeten worden","se manger froid"
"snel stappen (VL.), snel lopen","marcher vite"
"slenteren","marcher lentement"
"een minuut eerder","une minute avant"
"ongeveer een minuut","environ une minute"
"Geef me een minuutje.","Donnez-moi une minute."
"op de bus stappen","monter dans le bus"
"een nationaal plan","un plan national"
"op nationaal niveau","au niveau national"
"de nationale regeringen","les gouvernements nationaux"
"een zwarte broek","un pantalon noir"
"een pikdonkere hemel","un ciel noir"
"de kinderen bezighouden","occuper les enfants"
"een lokaal bezetten","occuper un local"
"zijn tuin onderhouden","s'occuper de son jardin"
"zich bezighouden met zijn zaken","s'occuper de ses affaires"
"volgende week verschijnen","paraître la semaine prochaine"
"jong lijken","paraitre jeune"
"Het boek is verschenen.","Le livre est paru."
"een factuur betalen","payer une facture"
"een som geld betalen","payer une somme d'argent"
"Ik zal morgen betalen.","Je paierai demain."
"iemand leed berokkenen","faire de la peine à qqn"
"de bezoekers behagen","plaire aux visiteurs"
"Mijn ouders vinden het leuk.","Cela plaît à mes parents."
"Ik vind fietsen leuk.","Le vélo me plait."
"genieten van het water","se plaire dans l'eau"
"in de volle zon","en plein soleil"
"in de openlucht","en plein air"
"Ik ken hem redelijk goed.","Je le connais plutôt bien."
"de zak op de grond leggen","poser le sac par terre"
"een vraag stellen","poser une question"
"een voorwaarde stellen","poser une condition"
"zijn kandidatuur indienen","poser sa candidature"
"zich vragen stellen","se poser des questions"
"Hij heeft zijn bus gemist.","Il a raté son bus."
"Hij was toch op tijd vertrokken.","Il était pourtant parti à l'heure."
"de stad verlaten","quitter la ville"
"Het is tijd om afscheid te nemen.","C'est l'heure de se quitter."
"een vriend terugbellen","rappeler un copain"
"zich zijn jeugd herinneren","se rappeler sa jeunesse"
"zich niets herinneren","ne se rappeler de rien"
"de klanten bedienen","servir les clients"
"tot niets dienen","ne servir à rien"
"een mes gebruiken","se servir d'un couteau"
"Wij zijn slechts met z'n drieën.","Nous sommes trois seulement."
"Had hij maar naar mij geluisterd!","Si seulement il m'avait écouté !"
"Ik zie haar vaak.","Je la vois souvent."
"het logische gevolg","la suite logique"
"Let vooral op de hond!","Fais surtout attention au chien !"
"de juiste toon","le bon ton"
"De toon stijgt.","Le ton monte."
"een bladzijde omslaan","tourner une page"
"iemand de rug toekeren","tourner le dos à qqn"
"goed werken, goed draaien","tourner rond"
"zich naar het publiek keren","se tourner vers le public"
"een menselijk gelaat","un visage humain"
"met bedekt gelaat","le visage couvert"
