nl,fr
"een kalenderjaar","une année civile"
"hetzelfde jaar","la même année"
"het zevende jaar","la septième année"
"vorig jaar","l'année passée"
"Gelukkig nieuwjaar!","Bonne année !"
"de politie opbellen","appeler la police"
"Bernard heten","appeler Bernard"
"de motor uitzetten","arrêter le moteur"
"stoppen met spreken","arrêter de parler"
"op tijd stoppen","s'arrêter à temps"
"op tijd op school aankomen","arriver à l'heure à l'école"
"nog vijf minuten wachten","attendre encore cinq minutes"
"een verrassing verwachten","s'attendre à une surprise"
"een mooi geschenk","un beau cadeau"
"Het is mooi weer.","Il fait beau."
"een mooie toekomst","un bel avenir"
"een mooi huis","une belle maison"
"begrijpen wat de leraar zegt","comprendre ce que le professeur dit"
"het antwoord niet kennen","ne pas connaître la réponse"
"Ik heb zijn vader gekend.","J'ai connu son père."
"een slag, een klap","un coup"
"plotseling","d'un seul coup"
"een helpende hand","un coup de main"
"een klap krijgen","recevoir un coup"
"plotseling","tout à coup"
"een telefoontje","un coup de fil"
"al duizend woorden kennen","connaître déjà 1000 mots"
"hulp vragen","demander de l'aide"
"geld vragen","demander de l'argent"
"de weg vragen","demander le chemin"
"zich afvragen of zij zal komen","se demander si elle viendra"
"de laatste dag van de vakantie","le dernier jour des vacances"
"de laatste keer","la dernière fois"
"groot worden","devenir grand"
"een klein kind","un petit enfant"
"een jong kind","un jeune enfant"
"een geluid horen","entendre un bruit"
"iemand horen zingen","entendre qqn chanter"
"goed kunnen opschieten met zijn vrienden","bien s'entendre avec ses amis"
"een zwangere vrouw","une femme enceinte"
"de jonge vrouw","la jeune femme"
"een oude vrouw","une vieille femme"
"het kleine meisje","la petite fille"
"een groot meisje","une grande fille"
"het arme meisje","la pauvre fille"
"op dit moment","à l'heure actuelle"
"een uur van tevoren","une heure avant"
"een halfuur","une demi-heure"
"een uurtje","une petite heure"
"Hoe laat is het?","Quelle heure est-il ?"
"hem iets laten doen","lui laisser faire qqch."
"de rechterhand","la main droite"
"de linkerhand","la main gauche"
"Vertrek nu!","Pars maintenant !"
"een vrijstaand huis","une maison individuelle"
"een nieuw huis","une maison neuve"
"een oud huis","une vieille maison"
"dezelfde naam","le même nom"
"hetzelfde","la même chose"
"terzelfdertijd","en même temps"
"op dezelfde manier","de la même manière"
"de grootmoeder","la grand-mère"
"de schoonmoeder, de stiefmoeder","la belle-mère"
"Alles is er minder duur.","Tout y est moins cher."
"als de tijd rijp is","le moment venu"
"een onvergetelijk moment","un moment inoubliable"
"het beste moment","le meilleur moment"
"omkomen bij een ongeval","mourir dans un accident"
"Hij is jong gestorven.","Il est mort jeune."
"een nieuwe leraar","un nouveau professeur"
"het nieuwe jaar","la nouvelle année"
"de nacht valt","la nuit tombe"
"een lange nacht","une longue nuit"
"een korte nacht","une courte nuit"
"het linkeroog","l'œil gauche"
"het rechteroog","l'œil droit"
"Hou je ogen gesloten!","Garde les yeux fermés !"
"op vakantie gaan","partir en vacances"
"naar zee gaan","partir à la mer"
"de arme landen","les pays pauvres"
"een klein land","un petit pays"
"de grootvader","le grand-père"
"een jonge vader","un jeune père"
"de schoonvader, de stiefvader","le beau-père"
"een bejaarde, een oudere persoon","une personne âgée"
"dezelfde persoon","la même personne"
"Haar vriendinnen?","De ses copines ?"
"Ik ken er weinig.","J'en connais peu."
"Het zal misschien sneeuwen.","Il neigera peut-être."
"het openbare plein","la place publique"
"een centrale plaats","une place centrale"
"de juiste plaats","la bonne place"
"plaats maken voor iets","faire place à qqch."
"Zijn gezicht was eerst helemaal wit, en toen helemaal rood.","Son visage était d'abord tout blanc, puis tout rouge."
"een film kijken op tv","regarder un film à la télévision"
"foto's bekijken","regarder des photos"
"thuisblijven","rester à la maison"
"een enkele keer","une seule fois"
"de enige manier","le seul moyen"
"een enkele persoon","une seule personne"
"op zaterdagavond","le samedi soir"
"het kantoor verlaten om vier uur","sortir du bureau à quatre heures"
"laat uitgaan","sortir tard"
"Eruit!","Sortez !"
"de deur openhouden","tenir la porte ouverte"
"Ze hebben vergaderd.","Ils ont tenu une réunion."
"een beroemde figuur","une tête célèbre"
"een hersenbreker","un casse-tête"
"Ik heb hoofdpijn.","J'ai mal à la tête."
"een grote klus","un gros travail"
"een uitstekend werk","un excellent travail"
"de werken stilleggen","arrêter les travaux"
"Ik heb drie zussen.","J'ai trois sœurs."
"Hij drinkt veel te veel.","Il boit beaucoup trop."
"het beroepsleven","la vie active"
"het culturele leven","la vie culturelle"
"het lokale leven","la vie locale"
"het echte probleem","le vrai problème"
"de echte reden","la vraie raison"
"de echte naam","le vrai nom"
"een waargebeurd verhaal","une histoire vraie"
"Dat is waar.","C'est vrai."
