nl,fr
"de Amerikaanse president","le président américain"
"witte wijn","du vin blanc"
"wit brood","du pain blanc"
"witte verf","de la peinture blanche"
"een slapeloze nacht","une nuit blanche"
"iets drinken met vrienden","boire un verre avec les copains"
"Ze gaat koffiedrinken.","Elle boira du café."
"warm gedronken worden","se boire chaud"
"Goedemorgen iedereen.","Bonjour tout le monde."
"doorgaan tot het einde van iets","aller jusqu'au bout de qqch."
"aan het einde van zijn lijden zijn","être au bout de ses peines"
"iemand tot het uiterste drijven","pousser qqn à bout"
"een stukje draad","un bout de fil"
"de belangrijkste reden","la cause principale"
"iets opnieuw ter discussie stellen","remettre qqch. en cause"
"de laatste kans","la dernière chance"
"geluk hebben","avoir de la chance"
"een rekening openen","ouvrir un compte"
"een bankrekening","un compte en banque"
"de leerlingen in de klas tellen","compter les élèves en classe"
"een cursus volgen","suivre un cours"
"de beurskoers van een aandeel","le cours d'une action en bourse"
"een moeilijk begin","un début difficile"
"begin januari","début janvier"
"Ik zal het morgen doen.","Je le ferai demain."
"Er zitten tien kinderen in de klas.","Il y a dix enfants en classe."
"de hele dag slapen","dormir toute la journée"
"naar school gaan","aller à l'école"
"de lagere school","l'école primaire"
"de middelbare school","l'école secondaire"
"een kleine onderneming","une petite entreprise"
"een grote onderneming","une grosse entreprise"
"een onderneming oprichten","créer une entreprise"
"een onderneming leiden","diriger une entreprise"
"een mail versturen","envoyer un mail"
"iemand naar de gevangenis sturen","envoyer une personne en prison"
"Hij zal je een bericht sturen.","Il t'enverra un message."
"elkaar opsturen","s'envoyer"
"elkaar berichtjes opsturen","s'envoyer des messages"
"de nationale ploeg","l'équipe nationale"
"de tegenpartij","l'équipe adverse"
"een ploeg vormen","former une équipe"
"voor een ploeg spelen","jouer pour une équipe"
"teamwork","un travail d'équipe"
"een Europees land","un pays européen"
"over het algemeen","de façon générale"
"in zekere zin","d'une certaine façon"
"vuur maken, een vuur aansteken","allumer un feu"
"een vuur doven","éteindre un feu"
"het groene licht","le feu vert"
"het oranje licht","le feu orange"
"het rode licht","le feu rouge"
"de bodem raken","toucher le fond"
"een rode achtergrond","un fond rouge"
"een muzikale achtergrond","un fond musical"
"de jongste broer","le frère cadet"
"de oudste broer","le frère ainé"
"mijn grote broer","mon grand frère"
"mijn kleine broer","mon petit frère"
"een wedstrijd winnen","gagner un match"
"een spel winnen","gagner à un jeu"
"van hoog niveau","de haut niveau"
"met een hoog risico, risicovol","à haut risque"
"op het ogenblik dat er iets gebeurt","à l'instant où qqch. se passe"
"Een ogenblik, alsjeblieft.","Un instant, s'il vous plait."
"een doos tillen","lever un carton"
"de armen opheffen","lever les bras"
"vroeg opstaan","se lever tôt"
"laat opstaan","se lever tard"
"kwaadspreken over iemand","dire du mal de qqn"
"kiespijn hebben","avoir mal aux dents"
"hoofdpijn verlichten","soulager les maux de tête"
"Slaapwel, mama.","Bonne nuit, maman."
"niet de nodige moed hebben","manquer de courage"
"Ik zal hem missen.","Il va me manquer."
"de wereldmarkt","le marché mondial"
"de Belgische markt","le marché belge"
"een supermarkt","un supermarché"
"een geschenk aanbieden","offrir un cadeau"
"een glas aanbieden","offrir un verre"
"zijn hulp aanbieden","offrir son aide"
"een pauze nemen","s'offrir une pause"
"een geschenk voor zichzelf kopen","s'offrir un cadeau"
"de alfabetische volgorde","l'ordre alphabétique"
"de chronologische volgorde","l'ordre chronologique"
"iets in orde brengen","mettre qqch. en ordre"
"opnieuw op orde brengen","remettre de l'ordre"
"de openbare orde","l'ordre public"
"een bevel opvolgen","suivre un ordre"
"Soms groet hij me niet.","Parfois il ne me dit pas bonjour."
"een politieagent","un agent de police"
"De politie houdt een crimineel aan.","La police arrête un criminel."
"De politie patrouilleert in de stad.","La police patrouille en ville."
"een politieke crisis","une crise politique"
"een politieke partij","un parti politique"
"een project voorstellen","présenter un projet"
"een voordeel vertonen","présenter un avantage"
"een hoge prijs","un prix élevé"
"een lage prijs betalen","payer un prix bas"
"de prijzen verhogen","augmenter les prix"
"de prijzen verlagen","baisser les prix"
"een project starten","lancer un projet"
"een project uitvoeren","réaliser un projet"
"het openbaar vervoer","les transports publics"
"de publieke opinie","l'opinion publique"
"een verhaal vertellen","raconter une histoire"
"zijn leven vertellen aan iemand","raconter sa vie à qqn"
"een rapport opstellen","rédiger un rapport"
"een jaarrapport","un rapport annuel"
"genodigden ontvangen","recevoir des invités"
"kritiek krijgen","recevoir des critiques"
"Ze heeft de brief ontvangen.","Elle a reçu la lettre."
"het werk hervatten","reprendre le travail"
"de controle overnemen over iets","reprendre le contrôle de qqch."
"volledig vanaf nul opnieuw beginnen","tout reprendre à zéro"
"zijn tekst herzien","revoir son texte"
"vriendinnen opnieuw zien na het weekend","revoir des amies après le weekend"
"Hij zal haar morgen opnieuw zien.","Il la reverra demain."
"elkaar af en toe weerzien","se revoir de temps en temps"
"een weg volgen","suivre une route"
"op een slechte weg rijden","rouler sur une mauvaise route"
"gedurende de hele weg","tout le long de la route"
"een sociale woning","un logement social"
"een sociaal assistent","un assistant social"
"de sociale media","les réseaux sociaux"
"de grootte van een bedrijf","la taille d'une société"
"een bedrijf in moeilijkheden","une société en difficulté"
"de hedendaagse maatschappij","la société contemporaine"
"op de trein stappen","monter dans le train"
"De trein heeft vertraging.","Le train est en retard."
"De trein rijdt voorbij.","Le train passe."
"een arme stakker","un pauvre type"
"een rare kerel","un type bizarre"
"Het is mijn type niet.","Ce n'est pas mon type."
