nl,fr
"een uitnodiging aanvaarden","accepter une invitation"
"een aanbod aanvaarden","accepter une offre"
"een actie ondernemen","entreprendre une action"
"de gemiddelde leeftijd","âge moyen"
"de middeleeuwen","le moyen âge"
"de pensioengerechtigde leeftijd","l'âge de la retraite"
"hulp bieden","apporter de l'aide"
"een oplossing bieden","apporter une solution"
"een bewijs leveren","apporter une preuve"
"de veiligheid van iemand verzekeren","assurer la sécurité de qqn"
"de toekomst van iets veiligstellen","assurer l'avenir de qqch."
"het goede verloop van iets veiligstellen","assurer le bon déroulement de qqch."
"Heb je er net zoveel geteld als hij?","Tu en as compté autant que lui ?"
"zijn tegenstander verslaan","battre son adversaire"
"een record breken","battre un record"
"het hart stopt met kloppen","le cœur s'arrête de battre"
"op straat vechten","se battre dans la rue"
"een goed bezitten","posséder un bien"
"een houtvuur","un feu de bois"
"in het bos wandelen","se promener dans le bois"
"op de rand zitten","être assis sur le bord"
"aan boord zijn","être à bord"
"een jurk kiezen","choisir une robe"
"een datum kiezen","choisir une date"
"Ik weet niet wat te kiezen.","Je ne sais pas quoi choisir."
"een blauwe hemel","un ciel bleu"
"een betrokken hemel","un ciel couvert"
"een bewolkte hemel","un ciel nuageux"
"een onderneming oprichten","créer une société"
"een speciaal klimaat scheppen","créer un climat particulier"
"Eerst de bibliotheek, dan de bioscoop.","D'abord la bibliothèque, ensuite le cinéma."
"het skiën ontdekken","découvrir le ski"
"iets per toeval ontdekken","découvrir qqch. par hasard"
"open op zondag","ouvert le dimanche"
"gesloten op zondag","fermé le dimanche"
"werkgelegenheid scheppen","créer des emplois"
"een jobaanbieding","une offre d'emploi"
"een stabiele baan","un emploi stable"
"de gebruiksaanwijzing","le mode d'emploi"
"Het pakket is eindelijk aangekomen.","Le colis est enfin arrivé."
"Eerst douchen.","D'abord une douche."
"Daarna naar bed.","Ensuite, au lit."
"de gemoederen bedaren","calmer les esprits"
"gezond van lichaam en geest","sain de corps et d'esprit"
"het voorbeeld geven","donner l'exemple"
"het voorbeeld tonen","montrer l'exemple"
"een concreet voorbeeld","un exemple concret"
"Er zal altijd een risico zijn.","Il existera toujours un risque."
"Er zal wellicht een verschil bestaan.","Il existera sans doute une différence."
"de deur sluiten","fermer la porte"
"het raam sluiten","fermer la fenêtre"
"automatisch sluiten","se fermer automatiquement"
"vorm krijgen","prendre forme"
"in prima conditie zijn","être en pleine forme"
"enig in zijn soort","unique en son genre"
"Zij is de grootste van de klas.","Elle est la plus grande de la classe."
"Hij heeft me gistermorgen opgebeld.","Il m'a appelé hier matin."
"de internationale handel","le commerce international"
"de internationale samenwerking","la coopération internationale"
"de internationale uitwisselingen","les échanges internationaux"
"een krant drukken","imprimer un journal"
"een krant lezen","lire un journal"
"de gratis kranten","les journaux gratuits"
"Eén minuutje en ik kom.","Juste une minute et j'arrive."
"lang duren","durer longtemps"
"lang wachten","attendre longtemps"
"lang leven","vivre longtemps"
"het licht aandoen","allumer la lumière"
"het licht uitdoen","éteindre la lumière"
"in het volle licht","en pleine lumière"
"een onderzoek leiden","mener une enquête"
"een beleid voeren","mener une politique"
"een strijd leveren","mener un combat"
"Leid me naar de uitgang.","Mène-moi vers la sortie."
"naar een crisis leiden","mener à une crise"
"Dat leidt tot niets.","Cela ne mène à rien."
"de schoolomgeving","le milieu scolaire"
"midden in iets","au milieu de qqch."
"een miljard euro","un milliard d'euros"
"een beweging maken","faire un mouvement"
"een paniekgolf","un mouvement de panique"
"de klassieke muziek","la musique classique"
"muziek spelen","jouer de la musique"
"een naast familielid","un proche parent"
"Mijn ouders gaan scheiden.","Mes parents divorcent."
"Hij is de kleinste van de groep.","Il est le plus petit du groupe."
"iemand plezier doen","faire plaisir à qqn"
"het fijn vinden om iets te doen","prendre plaisir à faire qqch."
"een knop indrukken","pousser sur un bouton"
"een kreet slaken","pousser un cri"
"Een eik groeit traag.","Un chêne pousse lentement."
"elkaar duwen","se pousser"
"het akkoord moet iets in het vooruitzicht stellen","l'accord doit prévoir qqch."
"regen voorspellen","prévoir de la pluie"
"een uitnodiging weigeren","refuser une invitation"
"een aanbod weigeren","refuser une offre"
"een restje soep","un reste de soupe"
"de stilte bewaren","garder le silence"
"de stilte verbreken","rompre le silence"
"de huidige situatie","la situation actuelle"
"een moeilijke situatie","une situation difficile"
"de situatie verbetert","la situation s'améliore"
"de situatie verslechtert","la situation s'aggrave"
"De volledige zin telt zes woorden.","La phrase complète comprend six mots."
"de zon schijnt","le soleil brille"
"de zon gaat onder","le soleil se couche"
"in volle zon","en plein soleil"
"niet voldoende zijn om te slagen","ne pas suffire pour réussir"
"Genoeg!","Ça suffit !"
"Verontschuldigingen zullen niet volstaan.","Des excuses ne suffiront pas."
"iets doen","faire un truc"
"een oude truc","un vieux truc"
