nl,fr
"zijn ouders helpen","aider ses parents"
"elkaar helpen","s'aider"
"zich elders bevinden","se trouver ailleurs"
"een nieuwe liefde","un nouvel amour"
"contant geld","l'argent liquide"
"geld verdienen","gagner de l'argent"
"Problemen? Ik heb er genoeg.","Des ennuis, j'en ai assez."
"Ik hoor geen enkel geluid.","Je n'entends aucun bruit."
"het tegenovergestelde geval","le cas contraire"
"het eerste geval","le premier cas"
"het tweede geval","le second cas"
"een grote kamer","une grande chambre"
"een kleine kamer","une petite chambre"
"een tweepersoonskamer","une chambre pour deux personnes"
"een gezond lichaam","un corps sain"
"een mooi lichaam","un beau corps"
"koud water","de l'eau froide"
"kokend water","de l'eau bouillante"
"zoet water","de l'eau douce"
"stromend water","de l'eau courante"
"aandachtig luisteren","écouter attentivement"
"muziek beluisteren","écouter de la musique"
"naar elkaar luisteren","s'écouter"
"een mail schrijven","écrire un mail"
"elkaar schrijven","s'écrire"
"een regel uitleggen","expliquer une règle"
"de werking van een toestel uitleggen","expliquer le fonctionnement d'un appareil"
"ons gezin(netje)","notre petite famille"
"de schoonfamilie","la belle-famille"
"het algemeen belang","l'intérêt général"
"de algemene rangschikking","le classement général"
"het algemeen secundair onderwijs (aso)","l'enseignement général"
"de algemene beginselen","les principes généraux"
"een goede groep","un bon groupe"
"een heel fijne groep","un super groupe"
"een burgeroorlog","une guerre civile"
"de Tweede Wereldoorlog","la Seconde Guerre mondiale"
"een lange oorlog","une longue guerre"
"een oorlog winnen","gagner une guerre"
"een nieuw idee","une idée neuve"
"Het is een uitstekend idee!","C'est une excellente idée!"
"een rechtvaardig man","un homme juste"
"Dat is helemaal juist.","C'est tout à fait juste."
"een openbare plaats","un lieu public"
"een unieke plaats","un lieu unique"
"ver zien","voir loin"
"ver van de stad","loin de la ville"
"een lange reis","un long voyage"
"een lange lijst","une longue liste"
"slecht slapen","dormir mal"
"de volgende ochtend","le lendemain matin"
"op zaterdagochtend","le samedi matin"
"een half miljoen","un demi-million"
"de voormalige minister","l'ancien ministre"
"de premier, de eerste minister","le Premier ministre"
"de huidige minister","l'actuel ministre"
"het voorbeeld tonen","montrer l'exemple"
"met de vinger wijzen","montrer du doigt"
"zich tonen","se montrer"
"het eerste woord","le premier mot"
"een scheldwoord","un gros mot"
"het verleden vergeten","oublier le passé"
"zijn portefeuille vergeten","oublier son portefeuille"
"vergeten worden","s'oublier"
"snel vergeten worden","s'oublier vite"
"een belangrijk deel","une part importante"
"een groot deel","une large part"
"een klein deel","une faible part"
"het grootste deel","la majeure partie"
"een heel klein deel","une infime partie"
"een groot deel","une grosse partie"
"stap voor stap","pas à pas"
"de eerste stap zetten","faire le premier pas"
"toelaten om buiten te spelen","permettre de jouer dehors"
"zich veroorloven om","se permettre de"
"zich veroorloven om te laat te komen","se permettre d'arriver en retard"
"bang zijn voor iets","avoir peur de qqch."
"een grote angst","une grande peur"
"de rechtervoet","le pied droit"
"de linkervoet","le pied gauche"
"een kleine voet","un petit pied"
"een probleem hebben met iets","avoir un problème avec qqch."
"een groot probleem","un gros problème"
"een probleem oplossen","résoudre un problème"
"vier honden hebben","avoir quatre chiens"
"voor de nacht thuiskomen","rentrer avant la nuit"
"Wanneer ben je weer thuis?","Quand rentres-tu ?"
"op een vraag antwoorden","répondre à une question"
"volgende week","la semaine prochaine"
"een nieuwe week","une nouvelle semaine"
"een uitstekende service","un excellent service"
"een pompstation","une station-service"
"Kun je me een dienst bewijzen?","Peux-tu me rendre un service ?"
"Het is laat.","Il est tard."
"Het wordt laat.","Il se fait tard."
"Te laat!","Trop tard !"
"het vasteland","la terre ferme"
"op aarde leven","vivre sur terre"
"aan een koord trekken","tirer sur une corde"
"een besluit trekken","tirer une conclusion"
"in het water vallen","tomber dans l'eau"
"verliefd worden","tomber amoureux"
"de toren van Pisa","la tour de Pise"
"in het park wandelen","faire le tour du parc"
"de eerste ronde","le premier tour"
"een snel overzicht geven","faire un rapide tour d'horizon"
"hard werken","travailler dur"
"in een fabriek werken","travailler dans une usine"
"aan zijn fysieke conditie werken","travailler sa condition physique"
"snel rijden","rouler vite"
"een kleine auto","une petite voiture"
"een grote auto","une grosse voiture"
"een sterke stem","une voix forte"
"een zachte stem","une voix douce"
"een mooie stem","une jolie voix"
"sprakeloos zijn","être sans voix"
"luid spreken","parler à haute voix"
