nl,fr
"een akkoord over iets","un accord sur qqch."
"een akkoord sluiten","conclure un accord"
"We gaan akkoord.","Nous sommes d'accord."
"een vreemde zaak","une drôle d'affaire"
"een goede deal","une bonne affaire"
"de beste deal","la meilleure affaire"
"Wij zullen het zo doen.","Nous le ferons ainsi."
"de frisse lucht","l'air frais"
"de warme lucht","l'air chaud"
"in de openlucht","en plein air"
"er sympathiek uitzien","avoir l'air sympa"
"een oude vriend","un vieil ami"
"een goede vriendin","une bonne amie"
"de vriend van mijn zus","le petit ami de ma sœur"
"een nieuwe vriend","un nouvel ami"
"Doe het vandaag en niet morgen.","Fais-le aujourd'hui et pas demain."
"iets nodig hebben","avoir besoin de qqch."
"een pullover zoeken","chercher un pull"
"iemand van het station ophalen","chercher qqn à la gare"
"Ik zoek mijn sleutels.","Je cherche mes clés."
"een boek beginnen te lezen","commencer à lire un livre"
"We beginnen morgen.","Nous commençons demain."
"de linkerzijde","le côté gauche"
"de rechterzijde","le côté droit"
"de juiste zijde","le bon côté"
"een levende god","un dieu vivant"
"een huis binnengaan","entrer dans une maison"
"nieuwe schoenen passen","essayer de nouvelles chaussures"
"Ik probeer het nog eens.","J'essaie encore une fois."
"het feit is dat …","le fait est que …"
"het simpele feit dat …","le simple fait que …"
"een gelukkig einde","une belle fin"
"een boek beëindigen","finir de lire un livre"
"derde eindigen","finir troisième"
"We beëindigen het werk vandaag.","Nous finissons le travail aujourd'hui."
"een Franse vriend","un ami français"
"de jongeren","les jeunes gens"
"de arme mensen","les gens pauvres"
"de goede mensen","les braves gens"
"de oudere mensen","les gens âgés"
"een lang verhaal","une longue histoire"
"een duister verhaal","une sombre histoire"
"een raar verhaal","une drôle d'histoire"
"Vertel ons een verhaaltje.","Raconte-nous une histoire."
"een jonge man","un jeune homme"
"een jonge vrouw","une jeune femme"
"voetballen","jouer au foot"
"pianospelen","jouer du piano"
"op straat spelen","jouer dans la rue"
"hartelijk dank","un grand merci"
"Bedankt voor uw bezoek.","Merci de votre visite."
"Hartelijk dank!","Merci beaucoup !"
"Dank u, u hebt me goed geholpen.","Merci, vous m'avez bien aidé."
"beter zien met een bril","voir mieux avec des lunettes"
"vorige maand","le mois dernier"
"volgende maand","le mois prochain"
"de maand die volgt","le mois suivant"
"op mijn verjaardag (onzeker, controleer scan)","mon anniversaire"
"een zekere meneer X","un certain monsieur X"
"Men telt tien doden.","On compte dix morts."
"een plotselinge dood","une mort subite"
"een tragische dood","une mort tragique"
"de echte naam","le vrai nom"
"een oude naam","un ancien nom"
"een familienaam","un nom de famille"
"een voornaam","un prénom"
"een onbekende naam","un nom inconnu"
"de deur openen","ouvrir la porte"
"een winkel openen","ouvrir un magasin"
"om negen uur opengaan","s'ouvrir à neuf heures"
"een wedstrijd verliezen","perdre un match"
"zijn bril verloren zijn","avoir perdu ses lunettes"
"in het bos verdwalen","se perdre dans le bois"
"een beetje moed","un peu de courage"
"een klein beetje","un petit peu"
"één ding gemeen hebben","avoir un point commun"
"een belangrijk punt","un point important"
"de open deur","la porte ouverte"
"de gesloten deur","la porte fermée"
"Sluit de deur!","Ferme la porte !"
"een zak dragen","porter un sac"
"Het is zwaar om te dragen.","C'est lourd à porter."
"Deze sieraden kunnen altijd gedragen worden.","Ces bijoux peuvent se porter tout le temps."
"een echte macht","un réel pouvoir"
"de huidige president","l'actuel président"
"de voormalige president","l'ancien président"
"de toekomstige president","le futur président"
"een vraag over iets","une question sur qqch."
"de volgende vraag","la question suivante"
"een eenvoudige vraag","une question simple"
"een vraag stellen","poser une question"
"een onbekende reden","une raison inconnue"
"de echte reden","la vraie raison"
"een boek teruggeven aan een vriend","rendre un livre à un ami"
"naar Parijs gaan","se rendre à Paris"
"zijn portefeuille terugvinden","retrouver son portefeuille"
"We spreken af om acht uur.","Nous nous retrouvons à 20 heures."
"terugkomen voor acht uur","revenir avant 20 heures"
"een rustige straat","une rue calme"
"een kleine (zij)straat","une petite rue"
"de hoofdstraat","la rue principale"
"Neem de straat links.","Prenez la rue à gauche."
"ziek blijken te zijn","sembler être malade"
"de wind voelen","sentir le vent"
"slecht ruiken","sentir mauvais"
"zich goed voelen","se sentir bien"
"zich ongemakkelijk voelen","se sentir mal à l'aise"
"Geld?","De l'argent ?"
"Hij heeft er zoveel van als hij wil.","Il en a tant qu'il veut."
"een dier doden","tuer un animal"
"Eén persoon en geen twee.","Une personne et non deux."
"een oude krant","un vieux journal"
"een oude vriend","un vieil ami"
"een oude auto","une vieille voiture"
"een dynamische stad","une ville dynamique"
"het stadscentrum","le centre-ville"
"de oude stad","la vieille ville"
"in de stad leven","vivre en ville"
"op het platteland leven","vivre à la campagne"
"Hij heeft in Italië geleefd.","Il a vécu en Italie."
"echt willen veranderen","vouloir vraiment changer"
"Echt waar?","Vraiment ?"
